X;Activation1(X);Activation2(X)
-8.000000e+000;0.000000e+000;-1.000000e+000
-7.937500e+000;0.000000e+000;-1.000000e+000
-7.875000e+000;0.000000e+000;-1.000000e+000
-7.812500e+000;0.000000e+000;-1.000000e+000
-7.750000e+000;0.000000e+000;-1.000000e+000
-7.687500e+000;0.000000e+000;-1.000000e+000
-7.625000e+000;0.000000e+000;-1.000000e+000
-7.562500e+000;0.000000e+000;-1.000000e+000
-7.500000e+000;0.000000e+000;-1.000000e+000
-7.437500e+000;0.000000e+000;-1.000000e+000
-7.375000e+000;0.000000e+000;-1.000000e+000
-7.312500e+000;0.000000e+000;-1.000000e+000
-7.250000e+000;0.000000e+000;-1.000000e+000
-7.187500e+000;0.000000e+000;-1.000000e+000
-7.125000e+000;0.000000e+000;-1.000000e+000
-7.062500e+000;0.000000e+000;-1.000000e+000
-7.000000e+000;0.000000e+000;-1.000000e+000
-6.937500e+000;0.000000e+000;-1.000000e+000
-6.875000e+000;0.000000e+000;-1.000000e+000
-6.812500e+000;0.000000e+000;-1.000000e+000
-6.750000e+000;0.000000e+000;-1.000000e+000
-6.687500e+000;0.000000e+000;-1.000000e+000
-6.625000e+000;0.000000e+000;-1.000000e+000
-6.562500e+000;0.000000e+000;-1.000000e+000
-6.500000e+000;0.000000e+000;-1.000000e+000
-6.437500e+000;0.000000e+000;-1.000000e+000
-6.375000e+000;0.000000e+000;-1.000000e+000
-6.312500e+000;0.000000e+000;-1.000000e+000
-6.250000e+000;0.000000e+000;-1.000000e+000
-6.187500e+000;0.000000e+000;-1.000000e+000
-6.125000e+000;0.000000e+000;-1.000000e+000
-6.062500e+000;0.000000e+000;-1.000000e+000
-6.000000e+000;0.000000e+000;-1.000000e+000
-5.937500e+000;0.000000e+000;-1.000000e+000
-5.875000e+000;0.000000e+000;-1.000000e+000
-5.812500e+000;0.000000e+000;-1.000000e+000
-5.750000e+000;0.000000e+000;-1.000000e+000
-5.687500e+000;0.000000e+000;-1.000000e+000
-5.625000e+000;0.000000e+000;-1.000000e+000
-5.562500e+000;0.000000e+000;-1.000000e+000
-5.500000e+000;0.000000e+000;-1.000000e+000
-5.437500e+000;0.000000e+000;-1.000000e+000
-5.375000e+000;0.000000e+000;-1.000000e+000
-5.312500e+000;0.000000e+000;-1.000000e+000
-5.250000e+000;0.000000e+000;-1.000000e+000
-5.187500e+000;0.000000e+000;-1.000000e+000
-5.125000e+000;0.000000e+000;-1.000000e+000
-5.062500e+000;0.000000e+000;-1.000000e+000
-5.000000e+000;0.000000e+000;-1.000000e+000
-4.937500e+000;0.000000e+000;-1.000000e+000
-4.875000e+000;0.000000e+000;-1.000000e+000
-4.812500e+000;0.000000e+000;-1.000000e+000
-4.750000e+000;0.000000e+000;-1.000000e+000
-4.687500e+000;0.000000e+000;-1.000000e+000
-4.625000e+000;0.000000e+000;-1.000000e+000
-4.562500e+000;0.000000e+000;-1.000000e+000
-4.500000e+000;0.000000e+000;-1.000000e+000
-4.437500e+000;0.000000e+000;-1.000000e+000
-4.375000e+000;0.000000e+000;-1.000000e+000
-4.312500e+000;0.000000e+000;-1.000000e+000
-4.250000e+000;0.000000e+000;-1.000000e+000
-4.187500e+000;0.000000e+000;-1.000000e+000
-4.125000e+000;0.000000e+000;-1.000000e+000
-4.062500e+000;0.000000e+000;-1.000000e+000
-4.000000e+000;0.000000e+000;-1.000000e+000
-3.937500e+000;0.000000e+000;-9.997559e-001
-3.875000e+000;4.882813e-004;-9.990234e-001
-3.812500e+000;9.765625e-004;-9.978027e-001
-3.750000e+000;1.953125e-003;-9.960938e-001
-3.687500e+000;2.929688e-003;-9.938965e-001
-3.625000e+000;4.394531e-003;-9.912109e-001
-3.562500e+000;5.859375e-003;-9.880371e-001
-3.500000e+000;7.812500e-003;-9.843750e-001
-3.437500e+000;9.765625e-003;-9.802246e-001
-3.375000e+000;1.220703e-002;-9.755859e-001
-3.312500e+000;1.464844e-002;-9.704590e-001
-3.250000e+000;1.757813e-002;-9.648438e-001
-3.187500e+000;2.050781e-002;-9.587402e-001
-3.125000e+000;2.392578e-002;-9.521484e-001
-3.062500e+000;2.734375e-002;-9.450684e-001
-3.000000e+000;3.125000e-002;-9.375000e-001
-2.937500e+000;3.515625e-002;-9.294434e-001
-2.875000e+000;3.955078e-002;-9.208984e-001
-2.812500e+000;4.394531e-002;-9.118652e-001
-2.750000e+000;4.882813e-002;-9.023438e-001
-2.687500e+000;5.371094e-002;-8.923340e-001
-2.625000e+000;5.908203e-002;-8.818359e-001
-2.562500e+000;6.445313e-002;-8.708496e-001
-2.500000e+000;7.031250e-002;-8.593750e-001
-2.437500e+000;7.617188e-002;-8.474121e-001
-2.375000e+000;8.251953e-002;-8.349609e-001
-2.312500e+000;8.886719e-002;-8.220215e-001
-2.250000e+000;9.570313e-002;-8.085938e-001
-2.187500e+000;1.025391e-001;-7.946777e-001
-2.125000e+000;1.098633e-001;-7.802734e-001
-2.062500e+000;1.171875e-001;-7.653809e-001
-2.000000e+000;1.250000e-001;-7.500000e-001
-1.937500e+000;1.328125e-001;-7.341309e-001
-1.875000e+000;1.411133e-001;-7.177734e-001
-1.812500e+000;1.494141e-001;-7.009277e-001
-1.750000e+000;1.582031e-001;-6.835938e-001
-1.687500e+000;1.669922e-001;-6.657715e-001
